Date,Open,High,Low,Close,Adj Close,Volume
2018-02-16,353.000000,353.000000,349.000000,350.000000,308.187012,280925
2018-02-19,347.000000,351.000000,320.000000,340.000000,299.381683,431368
2018-02-20,340.000000,347.000000,340.000000,342.000000,301.142761,910941
2018-02-21,345.000000,349.000000,344.000000,346.000000,304.664825,707537
2018-02-22,345.000000,350.000000,345.000000,350.000000,308.187012,145278
2018-02-23,350.000000,357.000000,350.000000,355.000000,312.589691,233578
2018-02-26,358.000000,359.000000,356.000000,358.000000,315.231323,444559
2018-02-27,359.000000,359.000000,356.000000,357.000000,314.350708,516954
2018-02-28,352.000000,358.000000,352.000000,358.000000,315.231323,663694
2018-03-01,354.000000,361.000000,354.000000,360.000000,316.992340,1439553
2018-03-02,354.000000,361.000000,354.000000,361.000000,317.872894,4163225
2018-03-05,361.000000,361.000000,351.000000,355.000000,312.589691,628575
2018-03-06,355.000000,363.000000,355.000000,358.000000,315.231323,361337
2018-03-07,358.000000,360.000000,356.000000,358.000000,315.231323,191037
2018-03-08,357.000000,358.000000,355.000000,358.000000,315.231323,234191
2018-03-09,358.000000,359.000000,356.000000,357.000000,314.350708,908518
2018-03-12,358.000000,361.000000,351.000000,358.000000,315.231323,329560
2018-03-13,358.000000,358.000000,354.000000,355.000000,312.589691,497309
2018-03-14,354.000000,357.000000,353.000000,356.000000,313.470215,344821
2018-03-15,356.000000,356.000000,350.000000,354.000000,311.709106,280248
2018-03-16,355.000000,361.000000,355.000000,360.000000,316.992340,654870
2018-03-19,361.000000,362.000000,356.000000,358.000000,315.231323,410620
2018-03-20,359.000000,360.000000,356.000000,358.000000,315.231323,104186
2018-03-21,361.000000,361.000000,357.000000,360.000000,316.992340,173815
2018-03-22,359.000000,361.000000,356.000000,360.000000,316.992340,225301
2018-03-23,355.000000,356.000000,347.000000,348.000000,306.425934,386686
2018-03-26,348.000000,352.000000,348.000000,350.000000,308.187012,378318
2018-03-27,353.000000,355.000000,348.000000,348.000000,306.425934,267115
2018-03-28,348.000000,350.000000,344.000000,349.000000,307.306458,722072
2018-03-29,350.000000,350.000000,349.000000,349.000000,307.306458,250854
2018-04-03,349.000000,353.000000,349.000000,351.000000,309.067535,195155
2018-04-04,349.000000,350.000000,347.000000,349.000000,307.306458,350325
2018-04-05,346.000000,350.000000,346.000000,347.000000,309.000671,208309
2018-04-06,347.000000,349.000000,344.000000,348.000000,309.891113,699929
2018-04-09,348.000000,350.000000,345.000000,346.000000,308.110138,322087
2018-04-10,346.000000,351.000000,346.000000,350.000000,311.672089,232596
2018-04-11,350.000000,350.000000,346.000000,346.000000,308.110138,270848
2018-04-12,346.000000,347.000000,344.000000,344.000000,306.329132,266011
2018-04-13,347.000000,347.000000,344.000000,346.000000,308.110138,280548
2018-04-16,342.000000,346.000000,342.000000,344.000000,306.329132,173217
2018-04-17,344.000000,344.000000,340.000000,340.000000,302.767212,301783
2018-04-18,346.000000,346.000000,340.000000,343.000000,305.438690,350512
2018-04-19,340.000000,343.000000,338.000000,340.000000,302.767212,736349
2018-04-20,340.000000,342.000000,339.000000,340.000000,302.767212,380368
2018-04-23,340.000000,340.000000,336.000000,340.000000,302.767212,207184
2018-04-24,338.000000,344.000000,338.000000,340.000000,302.767212,165568
2018-04-25,337.000000,340.000000,337.000000,337.000000,300.095734,46530
2018-04-26,335.000000,335.000000,329.000000,332.000000,295.643311,202550
2018-04-27,335.000000,338.000000,329.000000,338.000000,300.986206,416009
2018-04-30,335.000000,340.000000,335.000000,340.000000,302.767212,508729
2018-05-01,340.000000,345.000000,339.000000,344.000000,306.329132,273909
2018-05-02,345.000000,345.000000,342.000000,345.000000,307.219604,194199
2018-05-03,343.000000,343.000000,337.000000,341.000000,303.657684,606812
2018-05-04,340.000000,342.000000,338.000000,342.000000,304.548187,164595
2018-05-08,344.000000,347.000000,337.000000,344.000000,306.329132,285685
2018-05-09,343.000000,349.000000,342.000000,349.000000,310.781616,328801
2018-05-10,349.000000,349.000000,345.000000,347.000000,309.000671,142725
2018-05-11,349.000000,349.000000,344.000000,344.000000,306.329132,226380
2018-05-14,342.000000,349.000000,342.000000,349.000000,310.781616,155041
2018-05-15,349.000000,349.000000,346.000000,349.000000,310.781616,106338
2018-05-16,344.000000,347.000000,344.000000,345.000000,307.219604,464304
2018-05-17,342.000000,344.000000,342.000000,342.000000,304.548187,239394
2018-05-18,342.000000,344.000000,341.000000,342.500000,304.993408,721417
2018-05-21,345.000000,345.000000,341.000000,341.000000,303.657684,480710
2018-05-22,340.000000,340.000000,330.000000,330.000000,293.862244,341251
2018-05-23,329.000000,336.000000,326.000000,331.000000,294.752747,1071012
2018-05-24,334.000000,334.000000,331.000000,332.000000,295.643311,253892
2018-05-25,331.000000,333.000000,328.000000,330.000000,293.862244,273901
2018-05-29,326.000000,327.000000,322.000000,323.000000,287.628845,247809
2018-05-30,326.000000,326.000000,321.000000,322.000000,286.738312,591584
2018-05-31,327.000000,327.000000,321.000000,324.000000,288.519318,327954
2018-06-01,327.000000,334.000000,324.000000,333.000000,296.533752,1354844
2018-06-04,333.000000,338.000000,333.000000,338.000000,300.986206,881897
2018-06-05,336.000000,340.000000,336.000000,336.000000,299.205139,280047
2018-06-06,336.000000,349.000000,336.000000,346.000000,308.110138,219118
2018-06-07,343.000000,349.000000,343.000000,346.000000,308.110138,92407
2018-06-08,345.000000,348.000000,345.000000,348.000000,309.891113,450003
2018-06-11,348.000000,350.000000,345.000000,346.000000,308.110138,97146
2018-06-12,346.000000,346.000000,340.000000,346.000000,308.110138,190245
2018-06-13,341.000000,346.000000,341.000000,345.000000,307.219604,146881
2018-06-14,342.000000,343.000000,341.000000,342.000000,304.548187,759371
2018-06-15,341.000000,346.000000,341.000000,343.000000,305.438690,824529
2018-06-18,345.000000,346.000000,340.000000,340.000000,302.767212,101779
2018-06-19,339.000000,339.000000,323.000000,330.000000,293.862244,673520
2018-06-20,330.000000,334.000000,325.000000,325.000000,289.409821,221969
2018-06-21,327.000000,330.000000,323.000000,323.000000,287.628845,204664
2018-06-22,328.000000,329.000000,326.000000,326.000000,290.300293,653204
2018-06-25,330.000000,330.000000,325.000000,327.000000,291.190796,915456
2018-06-26,329.000000,330.000000,327.000000,330.000000,293.862244,139161
2018-06-27,329.000000,330.000000,326.000000,326.000000,290.300293,87668
2018-06-28,326.000000,327.000000,323.000000,323.000000,287.628845,287070
2018-06-29,324.000000,329.000000,324.000000,326.000000,290.300293,624443
2018-07-02,325.000000,328.000000,319.000000,319.000000,284.066864,246263
2018-07-03,315.000000,315.000000,306.000000,310.000000,276.052429,633283
2018-07-04,317.000000,317.000000,311.000000,311.000000,276.942932,137653
2018-07-05,310.000000,310.000000,306.000000,306.000000,272.490448,200871
2018-07-06,310.000000,314.000000,310.000000,310.000000,276.052429,849053
2018-07-09,312.000000,315.000000,309.000000,309.000000,275.161957,366434
2018-07-10,310.000000,312.000000,309.000000,312.000000,277.833405,224517
2018-07-11,309.000000,310.000000,307.000000,310.000000,276.052429,222109
2018-07-12,310.000000,317.000000,310.000000,312.000000,277.833405,58094
2018-07-13,315.000000,316.000000,310.000000,310.000000,276.052429,65219
2018-07-16,311.000000,319.000000,311.000000,319.000000,284.066864,121906
2018-07-17,320.000000,320.000000,315.000000,317.000000,282.285858,227508
2018-07-18,317.000000,320.000000,317.000000,319.000000,284.066864,476497
2018-07-19,320.000000,322.000000,318.000000,322.000000,286.738312,384624
2018-07-20,321.000000,323.000000,318.000000,322.000000,286.738312,366458
2018-07-23,320.000000,325.000000,320.000000,323.000000,287.628845,209260
2018-07-24,321.000000,325.000000,318.000000,322.000000,286.738312,124188
2018-07-25,322.000000,325.000000,320.000000,324.000000,288.519318,122783
